State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,Area (in ha),TOT_P,Urb_Under_MC/VP,Class,VP/MC,VP Area,VP Population,Forest Area (in Hectares),Area under Non-Agricultural Uses (in Hectares),Barren & Un-cultivable Land Area (in Hectares),Permanent Pastures and Other Grazing Land Area (in Hectares),Land Under Miscellaneous Tree Crops etc. Area (in Hectares),Culturable Waste Land Area (in Hectares),Fallows Land other than Current Fallows Area (in Hectares),Current Fallows Area (in Hectares),Net Area Sown (in Hectares),Total Unirrigated Land Area (in Hectares),Area Irrigated by Source (in Hectares),Canals Area (in Hectares),Wells/Tube Wells Area (in Hectares),Tanks/Lakes Area (in Hectares),Waterfall Area (in Hectares),Other Source (specify) Area (in Hectares)
30,586,5616,626914,0,0,VILLAGE,Sarzora,Rural,769,2270,,C,Sarzora,769,2270,0,0,151.2,0,0,242.7,0,0,375.1,302.5,72.6,0,0,72.6,0,0
30,585,5613,626805,0,0,VILLAGE,Satorem,Rural,196.31,221,,D,Nagargaon,10172.57,4652,0,1.36,7.55,0,0,18.98,1.25,3.45,163.72,155.79,7.93,1.56,3.89,0,0,2.48
30,585,5613,626778,0,0,VILLAGE,Satrem,Rural,2226.01,176,,D,Nagargaon,10172.57,4652,2190.94,0.36,13.48,0,0,0.83,2.8,0.84,16.76,9.12,7.64,4.48,2.17,0,0,0.99
30,585,5614,626846,0,0,VILLAGE,Savoi-Verem,Rural,928.62,3187,,C,Savoi-Verem-Vagorbem,1287.49,3714,0,0,0,0,0,134.85,243.57,0,550.2,435.62,114.58,0,18.15,96.43,0,0
30,586,5616,626899,0,0,VILLAGE,Seraulim,Rural,271,3250,,C,Seraulim,387,3998,0,13.8,0,0,0,2.8,0,0,254.4,233.1,21.3,0,0,0,0,21.3
30,586,5616,626905,0,0,VILLAGE,Sernabatim,Rural,184,1548,,D,Colva,608,6987,0,35.8,0,0,0,12.9,0,0,135.3,122.1,13.2,0,0,0,0,13.2
30,586,5618,626978,0,0,VILLAGE,Sigao,Rural,2259,1724,,D,Colem,10453,6006,1000.4,480.6,0,0,0,309.3,0,0,468.7,450.2,18.5,8.5,0,0,0,10
30,585,5613,626795,0,0,VILLAGE,Sigonem,Rural,328.84,189,,D,Nagargaon,10172.57,4652,110.14,1.2,5.64,0,0,20.78,2.62,1.38,187.08,177.48,9.6,3.81,4.82,0,0,0.97
30,586,5618,627017,0,0,VILLAGE,Sigonem,Rural,2002,0,,D,Bati,12894,3283,1984.2,7.6,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0
30,585,5613,626834,0,0,VILLAGE,Siranguli,Rural,297.79,80,,D,Cotorem,3993.35,4102,130.12,1.15,7.15,0,8,8.57,3.07,8.92,130.81,128.42,2.39,0,1.89,0,0,0.5
30,585,5610,626669,0,0,VILLAGE,Sircaim,Rural,377,2850,,C,Sircaim,377,2850,0,7.82,0.56,0,0,82.85,0,0,285.77,282.21,3.56,0,1.14,2.42,0,0
30,585,5611,626724,0,0,VILLAGE,Siridao,Rural,669.66,2417,,C,Siridao - Pale,669.66,2417,0,500.43,0,0,0,8.43,0,0,160.8,158.7,2.1,0,0,2.1,0,0
30,585,5612,626746,0,0,VILLAGE,Sirigao,Rural,286.91,1617,,D,Sirigao,286.91,1617,0,0,203.91,13,6,4,22,8,30,20,10,0,0,2,0,8
30,586,5616,626915,0,0,VILLAGE,Sirlim,Rural,186,845,,D,Sirlim,724,4286,0,32.4,0,0,0,8.4,0,0,145.2,142.7,2.5,0,0,0,0,2.5
30,585,5614,626863,0,0,VILLAGE,Siroda,Rural,3695.8,14041,,A,Siroda,3695.8,14041,355.3,0,0,0,0,459.35,684.59,0,2196.56,213.5,1983.06,0,900.06,1083,0,0
30,585,5613,626769,0,0,VILLAGE,Siroli,Rural,353.8,663,,D,Querim,4147.5,5713,117.5,6.39,0,0,0,2.78,8.13,4,215,80,135,85,50,0,0,0
30,585,5613,626835,0,0,VILLAGE,Sirsodem,Rural,248.1,245,,D,Cotorem,3993.35,4102,154,5.08,3.47,0,4.18,0,6.14,12.23,63,63,0,0,0,0,0,0
30,586,5617,626941,0,0,VILLAGE,Sirvoi,Rural,1200,1129,,D,Xeldem(CT),2200,8563,307.2,95.5,0,0,0,485.3,0,0,312,300,12,7,0,0,0,5
30,585,5613,626817,0,0,VILLAGE,Sonal,Rural,306.91,430,,D,Sanvordem,8157.53,3283,0,0,27.58,0,0,147.69,0,0,131.64,111.8,19.84,0,0,0,0,19.84
30,586,5618,626989,0,0,VILLAGE,Sonauli,Rural,2584,63,,D,Colem,10453,6006,1880.7,99,0,0,0,572.8,0,0,31.5,30.5,1,0,0,0,0,1
30,585,5613,626810,0,0,VILLAGE,Sonus-Vonvoliem,Rural,474.12,764,,D,Onda,2517.06,9014,54.97,107.9,0,0,0,0.05,75.85,40.3,195.05,187.82,7.23,0,0,0,0,7.23
30,586,5617,626965,0,0,VILLAGE,Sulcorna,Rural,1153,594,,D,Cavorem,7640,3508,3.9,53.5,0,0,0,790.55,0,0,305.05,205,100.05,0,10,0,90.05,0
30,585,5613,626777,0,0,VILLAGE,Surla,Rural,1693.64,460,,D,Dongurli- Thane,6901.66,5488,1346.68,38.41,0,0,0,5.74,20.25,8.24,59.45,48.72,10.73,0,6.7,4.03,0,0
30,586,5618,626974,0,0,VILLAGE,Surla,Rural,1478.77,1109,,D,Sancordem,10182,4114,5771.9,110,0,0,0,423,0,0,115.1,108.6,6.5,2.5,1.9,0,0,2.1
30,585,5612,626761,0,0,VILLAGE,Surla,Rural,6420,3818,,C,Surla,1693.64,3818,6.84,8,717,300.8,7,5,11,4,634,564,70,0,0,0,0,70
30,585,5611,626716,0,0,VILLAGE,Talaulim,Rural,429.98,972,,D,Curca -Bambolim -Talaulim,1778.86,10816,0,110.93,0,0,0,21,0,0,298.05,295,3.05,0,0,0,0,3.05
30,586,5616,626907,0,0,VILLAGE,Talaulim,Rural,493,2911,,C,Talaulim,493,2911,0,80.6,0,0,0,25.4,0,0,386.8,364.6,22.2,0,0,0,0,22.2
30,585,5609,626645,0,0,VILLAGE,Tamboxem,Rural,153.62,591,,D,Tamboxern Mopa Uguem,1372.25,2806,32.32,29.48,0,0,0,23.17,0,0,68.65,66.69,1.96,0,0,0,0,1.96
30,585,5614,626857,0,0,VILLAGE,Telaulim,Rural,246,2554,,C,Vadi-Telaulim,407.01,3060,0,0,0,0,0,31.2,0,112.1,102.7,76,26.7,0,26.7,0,0,0
30,586,5617,626954,0,0,VILLAGE,Tiloi,Rural,686,588,,D,Bali,3895,7415,172.3,25,0,0,0,117.9,0,0,370.8,350.7,20.1,0,10,0,10.1,0
30,585,5609,626635,0,0,VILLAGE,Tiracol,Rural,200.89,205,,D,Querim-Tiracol,606.1,3243,2.44,88.28,0,0,0,19.35,0,0,90.82,90.35,0.47,0,0,0,0,0.47
30,585,5610,626670,0,0,VILLAGE,Tivim,Rural,1937.01,9076,,A,Tivim,1937.01,9076,0,104.44,523.15,0,40.86,536.99,716.45,0,15.12,15.12,0,0,0,0,0,0
30,585,5614,626843,0,0,VILLAGE,Tivrem,Rural,210,1878,,D,Tivrem-Orgao,560,6480,0,0,0,0,0,30.24,50.34,6,123.42,83.57,39.85,0,0,0,0,39.85
30,585,5609,626646,0,0,VILLAGE,Torxem,Rural,995.71,2405,,C,Torxem,995.71,2405,45.37,241.55,0,0,0,135.34,0,0,573.45,546.95,26.5,0,0,0,0,26.5
30,586,5618,627004,0,0,VILLAGE,Tudou,Rural,1295,35,,D,Bati,12894,3283,741.8,135.1,0,0,0,154.5,0,0,263.6,250.5,13.1,0,0,0,0,13.1
30,585,5609,626655,0,0,VILLAGE,Tuem,Rural,1523.44,2751,,C,Pernem,2208.55,6639,0,460.13,0,0,0,37.62,0,0,1025.69,1017.79,7.9,0,0,0,0,7.9
