State,District,Subdistt,Town/Village,Name,AREA,T_POPLN,Class,RES_HOUSE,HOUSEHOLDS,T_M_POPLN,T_F_POPLN,POPLN_M6,POPLN_F6,M_SC,F_SC,M_ST,F_ST,M_LITERATE,F_LITERATE,T_M_WORKER,T_F_WORKER,M_INDCAT1,F_INDCAT1,M_INDCAT2,F_INDCAT2,M_INDCAT3,F_INDCAT3,M_INDCAT4,F_INDCAT4,M_INDCAT5A,F_INDCAT5A,M_INDCAT5B,F_INDCAT5B,M_INDCAT6,F_INDCAT6,M_INDCAT7,F_INDCAT7,M_INDCAT8,F_INDCAT8,M_INDCAT9,F_INDCAT9,M_MARGINAL,F_MARGINAL,M_NON_WORK,F_NON_WORK,MRGD_IN_TN,EUDU_INST,RANG_EDU_F,P_SCH,M_SCH,H_SCH,PU_COLL,GR_COLL,ADLT_LT_CN,IND_SCH,TR_SCH,OTH_SCH,MED_INST,RANG_MED_F,H_CNTR,MCW_CNTR,MH_CNTR,CWC_CNTR,PHC_CNTR,HC_CNTR,PHS_CNTR,DISP_CNTR,FPC_CNTR,TB_CNTR,NH_CNTR,CHW_CNTR,RP_CNTR,SMP_CNTR,OTH_CNTR,DRNK_WAT_F,RANG_WAT_F,TAP,WELL,TANK,TUBE_WELL,HAND_PUMP,RIVER_WATE,FOUNTAIN,CANAL,LAKE,SPRING,NALA,OTH_FAC,PNT_FAC,RANG_PNT_F,PO_FAC,TO_FAC,POST_TELE,PH_FAC,MRKT_FAC,RANG_MKT_F,MRKT_DAY_1,MRKT_DAY_2,MRKT_DAY_3,MRKT_DAY_4,MRKT_DAY_5,MRKT_DAY_6,MRKT_DAY_7,MRKT_DAY_D,MRKT_DAY_F,MRKT_DAY_M,COMM_FAC,RANG_COM_F,BS_FAC,TX_TEMP_FA,RS_FAC,NW_FAC,APP_PUC_RO,APP_KCH_RO,APP_FOOTPA,APP_NAVRIV,APP_NAVCAN,APP_NC,LOC_TOWN,DIST_FRM_T,POWER_SUPL,POWER_EDEA,POWER_EAG,POWER_EO,POWER_EA,LAND_FORES,CANAL_GOVT,WELL_WO_EL,CANAL_PVT,WELL_W_ELE,TW_WO_ELEC,TW_W_ELECT,TANK_IRR,RIVER_IRR,LAKE_IRR,WF_IRR,OTHER_IRR,TOT_IRR_AR,UN_IRG_LAN,CULT_WASTE,AREA_UN_CU
30,2,3,44,Curdi,1829.17,1674,D,332,349,824,850,110,117,4,4,0,0,515,346,435,250,137,62,49,61,29,8,107,97,17,0,18,0,4,0,27,6,30,0,17,16,2,20,387,580,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,2,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,2,3,47,Curpem,911,692,D,143,143,349,343,43,54,4,7,0,0,206,130,193,77,85,25,10,32,22,5,15,6,20,1,3,1,1,0,10,2,15,1,12,4,0,6,156,260,,1,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,Sanguem,15,1,0,0,0,1,560.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.19,283.32,118.61,72.21
30,1,6,15,Curti,236.86,502,D,87,99,252,250,36,41,0,0,0,0,127,56,126,60,17,6,60,28,9,2,13,22,0,0,9,1,0,0,9,1,4,0,5,0,19,65,107,125,,1,0,7,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,Ponda,4,1,0,0,0,1,210.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.55,226.61,258.64,63.90
30,2,1,19,Curtorim,1735.48,9840,A,1866,1961,4924,4916,582,541,20,16,0,0,3365,2735,2034,941,249,192,215,188,73,5,73,31,66,6,371,49,146,80,269,81,159,4,413,305,103,193,2787,3782,,1,0,9,4,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,6,0,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,Raia,2,1,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,138.80,1007.27,260.10,329.31
30,1,5,26,Dabem,392.78,682,D,130,133,327,355,64,61,0,0,0,0,231,186,154,34,6,0,25,4,6,0,30,3,0,1,22,14,6,3,13,1,21,0,25,8,1,5,172,316,,1,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,Valpoi,5,1,1,0,0,0,86.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.21,238.61,16.37,7.57
30,2,2,1,Dabolim,740.95,2014,C,410,410,1060,954,148,130,20,16,0,0,729,517,423,94,1,3,2,1,16,5,0,0,4,3,109,12,45,2,57,17,71,4,118,47,76,24,561,836,,1,0,4,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,1,0,1,0,0,0,0,0,Chicalim,2,1,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.05,88.93,68.15,581.82
30,1,5,68,Damocem,629.1,998,D,196,196,509,489,83,79,0,0,0,0,276,151,217,88,50,12,80,49,18,2,0,0,1,1,18,18,14,0,8,1,7,0,21,5,7,10,285,391,,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,Valpoi,7,1,1,0,0,0,6.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.47,406.50,12.81,60.45
30,2,3,2,Darbandora,2116.92,1243,D,255,258,631,612,87,53,13,19,0,0,440,343,313,96,36,3,88,50,28,10,39,13,3,0,22,4,5,0,30,3,29,0,33,13,11,14,307,502,,1,0,13,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,Ponda,15,1,0,0,0,1,2550.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.49,1287.09,160.56,398.87
30,1,3,20,Dargalim,2103.66,7308,B,1289,1408,3685,3623,438,425,27,21,1,0,2890,2131,1832,690,370,247,229,207,53,2,318,56,21,9,270,61,58,6,128,30,173,2,212,70,88,285,1765,2648,,1,0,10,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,1,1,0,0,1,0,0,Pernem,8,1,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.44,949.75,393.32,670.65
30,1,5,38,Davem,1478.77,352,D,49,79,154,198,31,40,0,0,0,0,71,51,61,51,30,30,9,11,10,6,0,0,1,0,1,0,0,0,3,1,0,0,7,3,8,20,85,127,,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,0,0,0,1,0,0,0,0,Valpoi,5,1,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.81,3.93,1.66
